DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_reshfl_SNR20
2019-04-02_23:07:12 - Epoch: 1, val_loss: 0.000240, loss: 0.000800
2019-04-03_00:33:09 - Epoch: 2, val_loss: 0.000218, loss: 0.000228
2019-04-03_02:00:43 - Epoch: 3, val_loss: 0.000213, loss: 0.000220
2019-04-03_03:28:08 - Epoch: 4, val_loss: 0.000210, loss: 0.000214
2019-04-03_04:56:03 - Epoch: 5, val_loss: 0.000248, loss: 0.000213
2019-04-03_06:20:22 - Epoch: 6, val_loss: 0.000241, loss: 0.000211
2019-04-03_07:48:58 - Epoch: 7, val_loss: 0.000262, loss: 0.000210
2019-04-03_09:15:54 - Epoch: 8, val_loss: 0.000305, loss: 0.000209
2019-04-03_10:50:50 - Epoch: 9, val_loss: 0.000217, loss: 0.000209
2019-04-03_12:31:47 - Epoch: 10, val_loss: 0.000208, loss: 0.000208
2019-04-03_14:10:48 - Epoch: 11, val_loss: 0.000218, loss: 0.000208
2019-04-03_15:48:14 - Epoch: 12, val_loss: 0.000207, loss: 0.000208
2019-04-03_17:21:55 - Epoch: 13, val_loss: 0.000206, loss: 0.000208
2019-04-03_18:53:53 - Epoch: 14, val_loss: 0.000248, loss: 0.000207
2019-04-03_20:26:23 - Epoch: 15, val_loss: 0.000213, loss: 0.000207
2019-04-03_21:56:58 - Epoch: 16, val_loss: 0.000208, loss: 0.000207
2019-04-03_23:29:03 - Epoch: 17, val_loss: 0.000825, loss: 0.000207
2019-04-04_01:02:07 - Epoch: 18, val_loss: 0.000206, loss: 0.000207
2019-04-04_02:32:05 - Epoch: 19, val_loss: 0.000238, loss: 0.000207
2019-04-04_04:02:38 - Epoch: 20, val_loss: 0.000245, loss: 0.000206
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regLap_reshfl_SNR20to100
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regLap_reshfl_SNR20to100
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regLap_reshfl_SNR20to100
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regLap_reshfl_SNR20to100
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regLap_reshfl_SNR20to100
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regLap_reshfl_SNR20to100
2019-04-06_22:04:25 - Epoch: 1, val_loss: 0.000234, loss: 0.000557
2019-04-06_23:22:04 - Epoch: 2, val_loss: 0.000226, loss: 0.000233
2019-04-07_00:41:25 - Epoch: 3, val_loss: 0.000234, loss: 0.000221
2019-04-07_02:04:05 - Epoch: 4, val_loss: 0.000224, loss: 0.000216
2019-04-07_03:27:32 - Epoch: 5, val_loss: 0.000218, loss: 0.000214
2019-04-07_04:45:40 - Epoch: 6, val_loss: 0.000225, loss: 0.000211
2019-04-07_06:02:54 - Epoch: 7, val_loss: 0.000207, loss: 0.000211
2019-04-07_07:20:32 - Epoch: 8, val_loss: 0.000218, loss: 0.000210
2019-04-07_08:38:17 - Epoch: 9, val_loss: 0.000209, loss: 0.000209
2019-04-07_09:55:49 - Epoch: 10, val_loss: 0.000206, loss: 0.000208
2019-04-07_11:14:42 - Epoch: 11, val_loss: 0.000209, loss: 0.000207
2019-04-07_12:32:19 - Epoch: 12, val_loss: 0.000216, loss: 0.000207
2019-04-07_13:50:12 - Epoch: 13, val_loss: 0.000209, loss: 0.000207
2019-04-07_15:08:22 - Epoch: 14, val_loss: 0.000204, loss: 0.000206
2019-04-07_16:25:54 - Epoch: 15, val_loss: 0.000217, loss: 0.000206
2019-04-07_17:41:37 - Epoch: 16, val_loss: 0.000208, loss: 0.000206
2019-04-07_19:00:31 - Epoch: 17, val_loss: 0.000210, loss: 0.000206
2019-04-07_20:17:27 - Epoch: 18, val_loss: 0.000204, loss: 0.000205
2019-04-07_21:35:05 - Epoch: 19, val_loss: 0.000212, loss: 0.000205
2019-04-07_22:52:14 - Epoch: 20, val_loss: 0.000209, loss: 0.000205
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskSureProj_regDirac_tole-12_reshfl_SNR20to100
2019-04-08_23:25:48 - Epoch: 1, val_loss: 0.000246, loss: 0.000737
2019-04-09_00:42:40 - Epoch: 2, val_loss: 0.000222, loss: 0.000237
2019-04-09_02:00:45 - Epoch: 3, val_loss: 0.000218, loss: 0.000222
2019-04-09_03:18:39 - Epoch: 4, val_loss: 0.000216, loss: 0.000217
2019-04-09_04:37:26 - Epoch: 5, val_loss: 0.000220, loss: 0.000214
2019-04-09_05:55:15 - Epoch: 6, val_loss: 0.000210, loss: 0.000212
2019-04-09_07:10:36 - Epoch: 7, val_loss: 0.000208, loss: 0.000211
2019-04-09_08:28:49 - Epoch: 8, val_loss: 0.000212, loss: 0.000210
2019-04-09_09:45:54 - Epoch: 9, val_loss: 0.000210, loss: 0.000209
2019-04-09_11:03:54 - Epoch: 10, val_loss: 0.000208, loss: 0.000208
2019-04-09_12:21:07 - Epoch: 11, val_loss: 0.000217, loss: 0.000208
2019-04-09_13:38:58 - Epoch: 12, val_loss: 0.000209, loss: 0.000207
2019-04-09_14:58:12 - Epoch: 13, val_loss: 0.000211, loss: 0.000207
2019-04-09_16:16:25 - Epoch: 14, val_loss: 0.000209, loss: 0.000206
2019-04-09_17:34:40 - Epoch: 15, val_loss: 0.000224, loss: 0.000206
2019-04-09_18:51:42 - Epoch: 16, val_loss: 0.000206, loss: 0.000206
2019-04-09_20:08:35 - Epoch: 17, val_loss: 0.000206, loss: 0.000205
2019-04-09_21:28:07 - Epoch: 18, val_loss: 0.000220, loss: 0.000205
2019-04-09_22:47:59 - Epoch: 19, val_loss: 0.000210, loss: 0.000205
2019-04-10_00:14:27 - Epoch: 20, val_loss: 0.000210, loss: 0.000205
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskSureProj_regDirac_tole-12_reshfl_SNR20to100
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskSureProj_regDirac_tole-3_reshfl_SNR20to100
2019-04-10_15:34:12 - Epoch: 1, val_loss: 0.000233, loss: 0.000784
2019-04-10_16:54:02 - Epoch: 2, val_loss: 0.000216, loss: 0.000231
2019-04-10_18:12:06 - Epoch: 3, val_loss: 0.000241, loss: 0.000217
2019-04-10_19:30:31 - Epoch: 4, val_loss: 0.000242, loss: 0.000212
2019-04-10_20:50:02 - Epoch: 5, val_loss: 0.000207, loss: 0.000210
2019-04-10_22:09:02 - Epoch: 6, val_loss: 0.000209, loss: 0.000210
2019-04-10_23:27:55 - Epoch: 7, val_loss: 0.000224, loss: 0.000208
2019-04-11_00:45:19 - Epoch: 8, val_loss: 0.000208, loss: 0.000208
2019-04-11_02:04:34 - Epoch: 9, val_loss: 0.000209, loss: 0.000207
2019-04-11_03:21:52 - Epoch: 10, val_loss: 0.000207, loss: 0.000207
2019-04-11_04:40:15 - Epoch: 11, val_loss: 0.000269, loss: 0.000207
2019-04-11_05:59:47 - Epoch: 12, val_loss: 0.000208, loss: 0.000207
2019-04-11_07:19:08 - Epoch: 13, val_loss: 0.000212, loss: 0.000206
2019-04-11_08:38:47 - Epoch: 14, val_loss: 0.000205, loss: 0.000205
2019-04-11_09:57:23 - Epoch: 15, val_loss: 0.000205, loss: 0.000205
2019-04-11_11:14:29 - Epoch: 16, val_loss: 0.000228, loss: 0.000205
2019-04-11_12:33:49 - Epoch: 17, val_loss: 0.000204, loss: 0.000204
2019-04-11_13:53:26 - Epoch: 18, val_loss: 0.000222, loss: 0.000205
2019-04-11_15:12:36 - Epoch: 19, val_loss: 0.000216, loss: 0.000204
2019-04-11_16:32:05 - Epoch: 20, val_loss: 0.000267, loss: 0.000204
DeconvNet2D_FCS_sc4_layer5x5x5x5_swish_growthRate12_riskGCV_regDirac_regfrac0p1_reshfl_SNR20to100
2019-04-12_18:13:12 - Epoch: 1, val_loss: 0.000272, loss: 0.000703
2019-04-12_19:31:44 - Epoch: 2, val_loss: 0.000223, loss: 0.000231
2019-04-12_20:51:01 - Epoch: 3, val_loss: 0.000218, loss: 0.000217
2019-04-12_22:09:32 - Epoch: 4, val_loss: 0.000216, loss: 0.000215
2019-04-12_23:27:57 - Epoch: 5, val_loss: 0.000307, loss: 0.000212
2019-04-13_00:47:56 - Epoch: 6, val_loss: 0.001049, loss: 0.000210
2019-04-13_02:05:27 - Epoch: 7, val_loss: 0.000213, loss: 0.000209
2019-04-13_03:25:22 - Epoch: 8, val_loss: 0.000234, loss: 0.000209
2019-04-13_04:43:37 - Epoch: 9, val_loss: 0.000211, loss: 0.000208
2019-04-13_06:02:41 - Epoch: 10, val_loss: 0.000206, loss: 0.000207
2019-04-13_07:20:27 - Epoch: 11, val_loss: 0.000226, loss: 0.000207
2019-04-13_08:40:39 - Epoch: 12, val_loss: 0.000487, loss: 0.000206
2019-04-13_09:58:05 - Epoch: 13, val_loss: 0.000207, loss: 0.000207
