ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
2019-06-12_09:03:38 - Epoch: 8, val_loss: 195.200378, val_mean_squared_error: 0.856798, val_shape_metric: 0.000000, loss: 152.738937, mean_squared_error: 1.911635, shape_metric: 0.000000
2019-06-12_09:03:39 - Epoch: 9, val_loss: 186.747498, val_mean_squared_error: 0.850933, val_shape_metric: 0.000000, loss: 149.965317, mean_squared_error: 1.921668, shape_metric: 0.000000
2019-06-12_09:03:39 - Epoch: 10, val_loss: 175.594818, val_mean_squared_error: 0.823853, val_shape_metric: 0.000000, loss: 126.678421, mean_squared_error: 1.900820, shape_metric: 0.000000
ShapeNet2D_FCS_claire_sc1_layer2_relu_growthRate2_with_mom_test
2019-06-12_09:04:22 - Epoch: 11, val_loss: 3239581.500000, val_mean_squared_error: 0.941115, val_shape_metric: 10446.815430, loss: 26164530.500000, mean_squared_error: 1.799418, shape_metric: 49203.787109
2019-06-12_09:04:22 - Epoch: 12, val_loss: 3047753.500000, val_mean_squared_error: 1.059804, val_shape_metric: 9063.441406, loss: 21465584.000000, mean_squared_error: 1.759477, shape_metric: 25838.990234
2019-06-12_09:04:22 - Epoch: 13, val_loss: 2747293.750000, val_mean_squared_error: 1.010896, val_shape_metric: 7649.584473, loss: 8892963.500000, mean_squared_error: 1.778468, shape_metric: 31822.153320
2019-06-12_09:04:22 - Epoch: 14, val_loss: 2552943.500000, val_mean_squared_error: 1.107234, val_shape_metric: 6862.869629, loss: 4724503.500000, mean_squared_error: 1.743422, shape_metric: 15403.564941
2019-06-12_09:04:22 - Epoch: 15, val_loss: 2293565.750000, val_mean_squared_error: 1.136975, val_shape_metric: 6061.577637, loss: 4748626.875000, mean_squared_error: 1.905014, shape_metric: 21287.444336
2019-06-12_09:04:23 - Epoch: 16, val_loss: 2115092.750000, val_mean_squared_error: 1.094674, val_shape_metric: 5550.698242, loss: 6208894.500000, mean_squared_error: 1.800024, shape_metric: 18672.488281
2019-06-12_09:04:23 - Epoch: 17, val_loss: 1932939.625000, val_mean_squared_error: 1.056579, val_shape_metric: 5192.989258, loss: 1804352.562500, mean_squared_error: 1.896055, shape_metric: 10225.484375
2019-06-12_09:04:23 - Epoch: 18, val_loss: 1780060.750000, val_mean_squared_error: 1.051829, val_shape_metric: 4909.803711, loss: 2982005.625000, mean_squared_error: 1.880214, shape_metric: 13104.725342
2019-06-12_09:04:23 - Epoch: 19, val_loss: 1637811.750000, val_mean_squared_error: 1.048536, val_shape_metric: 4646.471191, loss: 2076398.375000, mean_squared_error: 1.884193, shape_metric: 11353.641602
